NumDots,SubdomainLevel,PathLevel,UrlLength,NumDashInHostname,AtSymbol,NumUnderscore,NumPercent,NumAmpersand,NumHash,NumNumericChars,NoHttps,PathLength,IpAddress,TildeSymbol,HostnameLength,DoubleSlashInPath,QueryLength,NumQueryComponents,FrequentDomainNameMismatch,NumSensitiveWords,NumDash,DomainInSubdomains,DomainInPaths,HttpsInHostname,RatioNum2Let,noOfBrackets,NonASCIIChar,RatioSubdomain2Domain,ExeSubdomain,Label
3,3,1,41,0,0,0,0,0,0,0,0,19,0,0,14,0,0,1,1,1,1,0,0,0,0.0,0,0,0.6666666666666666,0,0
4,2,3,71,0,1,0,0,0,0,0,0,19,0,0,11,0,32,1,1,1,0,0,0,0,0.0,0,0,0.3333333333333333,0,0
2,2,1,43,0,0,0,0,0,0,0,0,9,0,0,26,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0555555555555555,0,0
2,2,1,33,0,0,0,0,0,0,0,0,1,0,0,24,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0588235294117647,0,0
2,2,1,23,0,0,0,0,0,0,0,0,1,0,0,14,0,0,1,1,1,0,0,0,0,0.0,0,0,0.1666666666666666,0,0
2,2,2,46,0,0,0,0,0,0,0,0,25,0,0,13,0,0,1,1,1,2,0,0,0,0.0,0,0,0.2,0,0
2,2,1,26,0,0,0,0,0,0,0,0,7,0,0,11,0,0,1,1,1,0,0,0,0,0.0,0,0,0.3333333333333333,0,0
2,2,3,52,0,0,0,0,0,0,0,0,29,0,0,15,0,0,1,1,1,1,0,0,0,0.0,0,0,0.125,0,0
1,1,1,36,0,0,0,0,0,0,1,0,7,0,0,5,0,15,1,1,2,0,0,0,0,0.0357142857142857,0,0,0.0,0,0
2,2,2,46,0,0,0,0,0,0,0,0,19,0,0,19,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0909090909090909,0,0
2,2,2,45,0,0,0,0,0,0,0,0,16,0,0,21,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0769230769230769,0,0
3,2,2,47,0,0,0,0,0,0,0,0,29,0,0,10,0,0,1,1,1,1,0,0,0,0.0,0,0,0.3333333333333333,0,0
2,2,1,33,1,0,0,0,0,0,0,0,6,0,0,19,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0833333333333333,0,0
